x> y^ xi yf
Sample	Amplitude
646	0.954604268
647	0.954591274
648	0.954578221
649	0.954565227
650	0.954552233
651	0.95453918
652	0.954526186
653	0.954513133
654	0.954500139
655	0.954487085
656	0.954474092
657	0.954461098
658	0.954448044
659	0.95443505
660	0.954421997
661	0.954409003
662	0.954396009
663	0.954382956
664	0.954369962
665	0.954356909
666	0.954343915
667	0.954330862
668	0.954317868
669	0.954304874
670	0.954291821
671	0.954278827
672	0.954265773
673	0.954252779
674	0.954239786
675	0.954226732
676	0.954213738
677	0.954200685
678	0.954187691
679	0.954174638
680	0.954161644
681	0.95414865
682	0.954135597
683	0.954122603
684	0.95410955
685	0.954096556
686	0.954083562
687	0.954070508
688	0.954057515
689	0.954044461
690	0.954031467
691	0.954018414
692	0.95400542
693	0.953992426
694	0.953979373
695	0.953966379
696	0.953953326
697	0.953940332
698	0.953927338
699	0.953914285
700	0.953901291
701	0.953888237
702	0.953875244
703	0.95386219
704	0.953849196
705	0.953836203
706	0.953823149
707	0.953810155
708	0.953797102
709	0.953784108
710	0.953792751
711	0.953801394
712	0.953810036
713	0.953818679
714	0.953827322
715	0.953835964
716	0.953844607
717	0.95385319
718	0.953861833
719	0.953870475
720	0.953879118
721	0.953887761
722	0.953896403
723	0.953905046
724	0.953913689
725	0.953922331
726	0.953930974
727	0.953939617
728	0.953948259
729	0.953956902
730	0.953965545
731	0.953974128
732	0.95398277
733	0.953991413
734	0.954000056
735	0.954008698
736	0.954017341
737	0.954025984
738	0.954034626
739	0.954043269
740	0.954051912
741	0.954060555
742	0.954069197
743	0.95407784
744	0.954086483
745	0.954095066
746	0.954103708
747	0.954112351
748	0.954120994
749	0.954129636
750	0.954138279
751	0.954146922
752	0.954155564
753	0.954164207
754	0.95417285
755	0.954181492
756	0.954190135
757	0.954198778
758	0.95420742
759	0.954216003
760	0.954224646
761	0.954233289
762	0.954241931
763	0.954250574
764	0.954259217
765	0.954267859
766	0.954276502
767	0.954285145
768	0.954293787
769	0.95430243
770	0.954311073
771	0.954319715
772	0.954328358
773	0.954337001
774	0.954345584
775	0.954354227
776	0.954362869
777	0.954371512
778	0.954380155
779	0.954388797
780	0.95439744
781	0.954406083
782	0.954414725
783	0.954423368
784	0.954432011
785	0.954440653
786	0.954449296
787	0.954457939
788	0.954466522
789	0.954475164
790	0.954483807
791	0.95449245
792	0.954501092
793	0.954509735
794	0.954518378
795	0.95452702
796	0.954535663
797	0.954544306
798	0.954552948
799	0.954561591
800	0.954570234
801	0.954578876
802	0.95458746
803	0.954596102
804	0.954604745
805	0.954613388
806	0.95462203
807	0.954630673
808	0.954639316
809	0.954647958
810	0.954656601
811	0.954665244
812	0.954673886
813	0.954682529
